StudentID,Number Class Attended,Previous Semester Score,Currently Working,Sleep Hours,Number of Practice Sets Solved
BITS2663,2,45,Yes,8,5
BITS2664,2,51,No,4,0
BITS2665,2,59,Yes,5,6
BITS2666,4,62,Yes,8,7
BITS2667,1,69,No,8,6
BITS2668,4,69,Yes,7,2
BITS2669,2,77,No,7,5
BITS2670,5,97,Yes,5,3
BITS2671,3,69,Yes,4,4
BITS2672,8,80,No,8,2
BITS2673,4,69,No,9,4
BITS2674,1,96,No,7,5
BITS2675,1,97,Yes,8,7
BITS2676,3,75,No,4,5
BITS2677,9,88,Yes,6,8
BITS2678,7,73,No,4,9
BITS2679,2,55,Yes,8,
BITS2680,9,63,No,8,9
BITS2681,2,53,Yes,5,9
BITS2682,3,65,No,8,3
BITS2683,2,47,Yes,7,1
BITS2684,3,53,Yes,9,8
BITS2685,6,70,Yes,5,2
BITS2686,9,41,Yes,8,6
BITS2687,9,87,No,4,3
BITS2688,7,43,Yes,8,0
BITS2689,3,40,No,4,7
BITS2690,4,94,Yes,4,3
BITS2691,6,59,No,8,5
BITS2692,5,98,Yes,4,6
BITS2693,2,53,Yes,9,7
BITS2694,6,79,No,6,9
BITS2695,3,64,No,5,1
BITS2696,8,99,Yes,8,8
BITS2697,2,64,No,6,9
BITS2698,1,42,No,4,2
BITS2699,9,44,No,4,0
BITS2700,3,77,Yes,5,1
BITS2701,1,93,No,6,7
BITS2702,7,65,Yes,6,9
BITS2703,5,79,No,8,5
BITS2704,5,77,No,4,0
BITS2705,1,77,Yes,7,8
BITS2706,9,43,No,8,6
BITS2707,7,46,No,8,9
BITS2708,8,69,No,8,2
BITS2709,9,69,No,5,6
BITS2710,6,95,No,5,5
BITS2711,5,58,No,8,2
BITS2712,6,78,No,9,7
BITS2713,2,74,Yes,7,0
BITS2714,4,79,Yes,6,4
BITS2715,3,72,Yes,6,7
BITS2716,7,72,Yes,4,2
BITS2717,9,53,Yes,6,9
BITS2718,5,77,No,6,5
BITS2719,6,49,Yes,7,9
BITS2720,2,96,Yes,6,1
BITS2721,3,67,No,7,8
BITS2722,3,53,Yes,5,1
BITS2723,9,75,No,7,4
BITS2724,7,77,No,5,2
BITS2725,8,55,Yes,7,9
BITS2726,9,99,Yes,8,8
BITS2727,6,60,No,9,8
BITS2728,4,67,No,5,6
BITS2729,1,72,Yes,5,9
BITS2730,8,45,No,6,4
BITS2731,7,80,Yes,5,8
BITS2732,2,54,Yes,7,6
BITS2733,8,83,Yes,8,1
BITS2734,5,42,Yes,8,9
BITS2735,7,82,No,6,0
BITS2736,4,86,No,7,9
BITS2737,5,74,Yes,7,9
BITS2738,8,53,Yes,4,3
BITS2739,1,41,No,5,9
BITS2740,1,68,No,6,7
BITS2741,4,43,No,8,5
BITS2742,3,65,No,9,1
BITS2743,2,90,No,4,4
BITS2744,3,51,Yes,7,8
BITS2745,1,41,Yes,5,5
BITS2746,1,56,Yes,8,5
BITS2747,6,74,Yes,4,6
BITS2748,5,49,No,7,4
BITS2749,8,87,No,8,2
BITS2750,2,61,Yes,8,2
BITS2751,,80,Yes,7,4
BITS2752,8,82,No,7,3
BITS2753,6,60,Yes,6,4
BITS2754,,54,Yes,8,8
BITS2755,4,74,No,7,4
BITS2756,1,87,No,9,3
BITS2757,2,60,No,9,3
BITS2758,5,60,Yes,4,0
BITS2759,8,60,No,5,9
BITS2760,8,99,No,9,3
BITS2761,3,83,Yes,6,3
BITS2762,4,71,No,7,8
BITS2763,6,94,Yes,5,3
BITS2764,3,44,Yes,6,6
BITS2765,2,78,Yes,8,0
BITS2766,6,48,Yes,5,6
BITS2767,5,92,No,9,1
BITS2768,5,57,Yes,6,7
BITS2769,5,60,No,7,0
BITS2770,5,47,No,7,9
BITS2771,3,83,No,6,2
BITS2772,7,91,No,8,7
BITS2773,6,73,No,9,9
BITS2774,4,49,Yes,6,7
BITS2775,2,90,No,4,4
BITS2776,9,80,Yes,6,4
BITS2777,1,96,Yes,6,7
BITS2778,4,63,Yes,9,9
BITS2779,1,79,No,7,4
BITS2780,6,63,No,8,8
BITS2781,4,95,No,6,0
BITS2782,5,71,No,5,4
BITS2783,5,95,Yes,7,2
BITS2784,9,72,No,7,2
BITS2785,1,77,No,6,1
BITS2786,2,83,Yes,9,2
BITS2787,6,96,Yes,5,6
BITS2788,5,95,Yes,6,7
BITS2789,7,90,Yes,5,7
BITS2790,3,98,Yes,7,7
BITS2791,3,88,Yes,5,0
BITS2792,2,73,Yes,6,6
BITS2793,3,50,No,4,1
BITS2794,1,70,No,4,9
BITS2795,5,57,Yes,5,3
BITS2796,5,62,Yes,9,4
BITS2797,7,99,No,6,0
BITS2798,4,61,Yes,8,3
BITS2799,3,82,Yes,4,3
BITS2800,1,57,Yes,7,8
BITS2801,8,79,Yes,6,8
BITS2802,3,86,Yes,6,9
BITS2803,2,80,No,4,0
BITS2804,4,86,Yes,8,7
BITS2805,3,78,Yes,7,3
BITS2806,1,59,Yes,8,3
BITS2807,3,52,No,7,4
BITS2808,2,84,No,4,1
BITS2809,8,40,Yes,6,0
BITS2810,6,91,Yes,7,4
BITS2811,9,43,Yes,6,6
BITS2812,8,63,Yes,5,9
BITS2813,3,75,No,5,8
BITS2814,5,75,No,4,1
BITS2815,7,84,Yes,4,7
BITS2816,5,41,Yes,9,6
BITS2817,8,67,No,4,1
BITS2818,5,65,No,5,4
BITS2819,1,62,Yes,7,6
BITS2820,5,54,Yes,8,2
BITS2821,4,75,Yes,4,1
BITS2822,6,66,No,8,5
BITS2823,3,45,No,8,9
BITS2824,5,74,No,5,5
BITS2825,2,78,No,9,3
BITS2826,6,77,Yes,7,0
BITS2827,6,74,No,5,4
BITS2828,5,75,No,4,0
BITS2829,6,49,No,5,7
BITS2830,7,69,Yes,5,1
BITS2831,5,92,No,5,8
BITS2832,1,80,No,4,8
BITS2833,8,77,No,4,2
BITS2834,4,68,Yes,5,5
BITS2835,9,91,No,5,8
BITS2836,6,98,Yes,8,6
BITS2837,1,82,Yes,7,3
BITS2838,3,78,No,8,2
BITS2839,3,89,Yes,9,1
BITS2840,4,43,No,7,9
BITS2841,6,44,Yes,9,9
BITS2842,7,43,Yes,7,0
BITS2843,4,75,No,5,9
BITS2844,6,98,No,8,0
BITS2845,1,84,Yes,7,3
BITS2846,8,55,Yes,9,3
BITS2847,7,64,Yes,7,8
BITS2848,9,53,Yes,4,9
BITS2849,3,50,No,7,0
BITS2850,2,68,Yes,5,3
BITS2851,1,73,Yes,6,2
BITS2852,3,61,No,4,8
BITS2853,5,53,Yes,6,4
BITS2854,2,95,No,5,8
BITS2855,3,63,No,6,9
BITS2856,4,98,No,7,5
BITS2857,7,78,Yes,6,8
BITS2858,3,65,No,8,0
BITS2859,9,82,No,5,3
BITS2860,8,75,No,8,3
BITS2861,4,78,Yes,6,9
BITS2862,1,55,Yes,8,9
BITS2863,1,97,Yes,4,5
BITS2864,1,77,Yes,6,9
BITS2865,1,98,No,9,0
BITS2866,8,71,No,8,9
BITS2867,3,45,No,7,4
BITS2868,6,73,Yes,6,2
BITS2869,3,95,No,9,0
BITS2870,5,47,Yes,4,5
BITS2871,7,69,Yes,7,2
BITS2872,2,66,Yes,6,3
BITS2873,6,46,No,7,8
BITS2874,6,66,No,6,1
BITS2875,3,64,Yes,6,0
BITS2876,6,95,No,5,9
BITS2877,5,85,,8,5
BITS2878,2,80,No,6,0
BITS2879,9,54,Yes,4,0
BITS2880,8,64,Yes,9,6
BITS2881,3,61,Yes,8,1
BITS2882,8,57,No,5,3
BITS2883,9,51,No,8,3
BITS2884,3,62,No,8,1
BITS2885,3,90,No,6,5
BITS2886,2,84,No,4,9
BITS2887,8,78,Yes,6,1
BITS2888,1,64,No,4,7
BITS2889,8,49,Yes,4,3
BITS2890,7,69,No,7,0
BITS2891,7,49,No,6,6
BITS2892,3,73,No,5,5
BITS2893,1,85,Yes,9,5
BITS2894,4,52,No,8,2
BITS2895,,93,Yes,7,9
BITS2896,5,68,No,5,6
BITS2897,1,77,Yes,9,5
BITS2898,5,80,Yes,9,9
BITS2899,8,84,Yes,6,9
BITS2900,8,48,Yes,4,8
BITS2901,5,52,No,6,2
BITS2902,9,76,No,9,2
BITS2903,1,53,Yes,6,3
BITS2904,4,76,No,7,2
BITS2905,3,48,Yes,5,3
BITS2906,2,47,No,9,5
BITS2907,8,78,No,7,0
BITS2908,7,79,No,5,1
BITS2909,9,93,Yes,7,9
BITS2910,2,42,No,8,5
BITS2911,4,94,Yes,4,5
BITS2912,6,95,No,4,0
BITS2913,3,86,Yes,4,5
BITS2914,8,79,No,8,8
BITS2915,3,72,Yes,9,7
BITS2916,2,71,Yes,9,9
BITS2917,3,46,Yes,8,4
BITS2918,6,58,No,4,3
BITS2919,2,73,Yes,4,5
BITS2920,8,53,No,5,4
BITS2921,1,89,Yes,5,5
BITS2922,7,86,Yes,6,9
BITS2923,2,85,Yes,7,2
BITS2924,6,95,No,5,6
BITS2925,2,96,No,5,7
BITS2926,2,58,No,5,4
BITS2927,8,90,No,5,4
BITS2928,,93,No,8,3
BITS2929,7,98,No,6,9
BITS2930,3,65,No,5,4
BITS2931,8,56,Yes,9,9
BITS2932,7,93,Yes,7,7
BITS2933,8,67,No,5,4
BITS2934,7,58,No,8,8
BITS2935,6,66,No,9,0
BITS2936,7,87,No,4,6
BITS2937,5,91,No,4,4
BITS2938,7,96,Yes,6,3
BITS2939,1,58,No,4,2
BITS2940,1,72,No,5,9
BITS2941,9,90,No,8,6
BITS2942,5,46,Yes,6,1
BITS2943,5,68,Yes,9,4
BITS2944,3,94,Yes,5,1
BITS2945,5,82,Yes,4,6
BITS2946,3,44,No,7,5
BITS2947,9,69,Yes,5,9
BITS2948,9,88,Yes,7,6
BITS2949,6,82,Yes,9,8
BITS2950,1,95,Yes,7,1
BITS2951,7,97,Yes,9,8
BITS2952,7,47,No,6,6
BITS2953,4,81,Yes,8,1
BITS2954,8,51,Yes,4,9
BITS2955,6,81,Yes,4,1
BITS2956,4,52,No,5,3
BITS2957,4,65,No,4,1
BITS2958,2,57,No,6,0
BITS2959,2,81,No,4,5
BITS2960,4,90,No,5,9
BITS2961,5,91,No,4,4
BITS2962,8,88,No,8,2
BITS2963,6,59,No,9,0
BITS2964,4,55,Yes,7,8
BITS2965,7,76,Yes,7,7
BITS2966,8,42,No,9,5
BITS2967,2,66,Yes,7,5
BITS2968,7,54,No,8,3
BITS2969,2,97,Yes,6,1
BITS2970,2,73,Yes,5,3
BITS2971,8,84,No,8,1
BITS2972,2,61,Yes,5,6
BITS2973,9,79,No,6,8
BITS2974,1,62,No,8,1
BITS2975,9,98,Yes,4,8
BITS2976,1,88,No,6,8
BITS2977,2,43,Yes,7,7
BITS2978,6,90,Yes,8,0
BITS2979,6,93,No,6,4
BITS2980,1,96,No,6,9
BITS2981,7,80,No,8,3
BITS2982,8,62,No,7,6
BITS2983,2,86,No,9,7
BITS2984,8,99,Yes,7,9
BITS2985,9,48,No,6,7
BITS2986,6,63,Yes,5,1
BITS2987,5,60,No,9,2
BITS2988,9,80,Yes,9,9
BITS2989,9,85,Yes,6,9
BITS2990,1,94,Yes,8,6
BITS2991,3,92,Yes,8,3
BITS2992,9,55,Yes,8,5
BITS2993,2,95,No,7,7
BITS2994,4,94,Yes,4,7
BITS2995,4,64,No,8,6
BITS2996,2,65,Yes,8,1
BITS2997,3,88,No,9,1
BITS2998,3,84,Yes,5,2
BITS2999,1,48,Yes,5,3
BITS3000,6,54,No,6,0
BITS3001,8,78,No,6,4
BITS3002,3,72,Yes,6,6
BITS3003,5,40,Yes,8,9
BITS3004,1,44,No,5,4
BITS3005,7,95,Yes,6,6
BITS3006,1,48,Yes,5,4
BITS3007,9,,No,8,9
BITS3008,8,45,Yes,9,7
BITS3009,7,67,Yes,8,6
BITS3010,7,84,No,6,0
BITS3011,5,65,Yes,8,0
BITS3012,5,67,No,8,4
BITS3013,5,79,No,5,1
BITS3014,1,54,Yes,4,8
BITS3015,8,45,Yes,7,1
BITS3016,1,66,No,6,8
BITS3017,4,77,No,4,9
BITS3018,9,43,Yes,9,1
BITS3019,9,50,No,6,3
BITS3020,5,60,Yes,4,2
BITS3021,4,69,No,8,5
BITS3022,3,57,No,6,3
BITS3023,3,74,No,4,8
BITS3024,5,42,Yes,7,8
BITS3025,1,51,No,8,9
BITS3026,5,66,No,6,8
BITS3027,6,92,No,9,2
BITS3028,7,69,No,9,2
BITS3029,9,60,Yes,6,3
BITS3030,3,77,No,4,8
BITS3031,2,60,Yes,6,5
BITS3032,3,99,No,8,8
BITS3033,,77,No,5,7
BITS3034,7,79,Yes,9,6
BITS3035,9,54,Yes,4,4
BITS3036,2,57,No,7,8
BITS3037,5,91,No,6,3
BITS3038,4,68,No,8,3
BITS3039,2,87,Yes,6,7
BITS3040,,77,No,7,3
BITS3041,9,99,Yes,8,6
BITS3042,6,60,No,7,3
BITS3043,6,56,Yes,8,0
BITS3044,8,80,Yes,5,9
BITS3045,6,90,Yes,9,8
BITS3046,1,57,No,8,3
BITS3047,4,96,No,7,2
BITS3048,7,94,Yes,4,2
BITS3049,2,76,Yes,9,8
BITS3050,9,99,Yes,5,7
BITS3051,8,77,No,6,9
BITS3052,8,51,No,5,6
BITS3053,7,50,No,5,6
BITS3054,4,87,Yes,6,3
BITS3055,2,91,No,8,2
BITS3056,3,88,No,5,3
BITS3057,6,59,No,9,5
BITS3058,5,48,Yes,5,3
BITS3059,8,40,No,4,3
BITS3060,6,97,No,9,1
BITS3061,6,42,No,4,6
BITS3062,1,60,No,9,5
BITS3063,4,62,No,7,1
BITS3064,5,48,Yes,6,4
BITS3065,3,93,Yes,9,5
BITS3066,9,58,Yes,9,4
BITS3067,1,84,Yes,8,3
BITS3068,6,94,No,8,8
BITS3069,6,85,No,7,2
BITS3070,5,91,Yes,8,1
BITS3071,5,58,Yes,8,8
BITS3072,5,62,Yes,4,7
BITS3073,6,66,No,8,8
BITS3074,8,66,No,8,9
BITS3075,2,78,No,7,2
BITS3076,6,75,Yes,7,0
BITS3077,1,51,Yes,5,0
BITS3078,4,94,Yes,8,2
BITS3079,3,66,No,8,3
BITS3080,9,85,No,9,1
BITS3081,3,73,Yes,8,7
BITS3082,6,72,Yes,4,2
BITS3083,1,67,No,9,3
BITS3084,6,70,No,8,5
BITS3085,4,71,Yes,4,9
BITS3086,8,89,Yes,5,5
BITS3087,9,59,No,9,1
BITS3088,4,79,Yes,6,5
BITS3089,6,74,Yes,8,3
BITS3090,1,70,No,9,4
BITS3091,4,97,Yes,7,6
BITS3092,7,70,No,9,6
BITS3093,1,77,Yes,7,5
BITS3094,8,61,No,8,9
BITS3095,6,84,Yes,4,5
BITS3096,5,80,Yes,7,5
BITS3097,9,48,Yes,9,3
BITS3098,2,91,No,9,2
BITS3099,5,48,Yes,7,0
BITS3100,6,54,Yes,5,2
BITS3101,7,52,No,5,2
BITS3102,5,61,Yes,5,8
BITS3103,9,55,No,7,2
BITS3104,1,71,No,7,7
BITS3105,7,41,No,9,7
BITS3106,7,65,Yes,8,2
BITS3107,4,53,No,8,9
BITS3108,9,98,Yes,4,9
BITS3109,5,77,No,7,5
BITS3110,4,73,Yes,8,7
BITS3111,7,47,No,8,7
BITS3112,4,75,No,5,9
BITS3113,3,60,Yes,5,9
BITS3114,9,95,No,5,8
BITS3115,8,85,Yes,6,8
BITS3116,1,82,No,8,7
BITS3117,7,95,Yes,5,6
BITS3118,9,67,No,5,9
BITS3119,8,85,No,7,2
BITS3120,8,83,Yes,9,6
BITS3121,6,87,No,5,3
BITS3122,4,45,Yes,7,1
BITS3123,8,59,Yes,4,7
BITS3124,3,70,No,5,1
BITS3125,9,72,No,9,0
BITS3126,2,83,No,7,4
BITS3127,2,46,Yes,9,9
BITS3128,7,47,Yes,5,8
BITS3129,4,48,No,4,4
BITS3130,8,41,Yes,5,1
BITS3131,9,56,No,7,9
BITS3132,7,91,No,4,3
BITS3133,5,84,No,4,7
BITS3134,8,76,Yes,4,6
BITS3135,4,81,Yes,6,4
BITS3136,2,83,No,7,3
BITS3137,6,56,Yes,6,4
BITS3138,9,92,No,9,6
BITS3139,1,77,No,4,4
BITS3140,7,74,Yes,6,7
BITS3141,9,99,No,5,6
BITS3142,9,86,No,6,6
BITS3143,3,78,No,8,8
BITS3144,5,69,No,9,7
BITS3145,8,45,No,4,7
BITS3146,8,43,,4,5
BITS3147,4,90,Yes,9,6
BITS3148,1,76,No,9,7
BITS3149,1,74,Yes,7,4
BITS3150,4,97,No,5,9
BITS3151,6,96,No,9,1
BITS3152,8,48,No,9,6
BITS3153,6,45,No,7,9
BITS3154,9,52,Yes,9,2
BITS3155,9,98,,6,9
BITS3156,2,61,No,8,7
BITS3157,1,67,Yes,8,5
BITS3158,2,69,No,8,3
BITS3159,5,91,Yes,9,1
BITS3160,4,75,No,8,6
BITS3161,4,41,No,5,0
BITS3162,9,97,No,6,6
BITS3163,8,75,Yes,8,9
BITS3164,6,47,Yes,4,9
BITS3165,1,84,No,9,6
BITS3166,2,81,Yes,6,9
BITS3167,6,89,Yes,5,2
BITS3168,2,48,Yes,8,3
BITS3169,5,40,Yes,5,3
BITS3170,5,52,Yes,9,3
BITS3171,6,89,Yes,8,8
BITS3172,6,54,Yes,4,5
BITS3173,6,71,Yes,6,9
BITS3174,2,73,Yes,4,8
BITS3175,3,82,Yes,8,3
BITS3176,6,70,Yes,7,6
BITS3177,8,53,Yes,6,9
BITS3178,1,93,Yes,5,8
BITS3179,1,86,No,8,9
BITS3180,2,53,No,4,2
BITS3181,6,87,Yes,9,2
BITS3182,9,94,Yes,7,5
BITS3183,4,68,Yes,9,7
BITS3184,3,86,No,8,0
BITS3185,8,58,No,5,3
BITS3186,9,66,Yes,4,7
BITS3187,5,48,Yes,6,5
BITS3188,9,76,Yes,7,1
BITS3189,2,76,Yes,8,7
BITS3190,3,82,Yes,8,0
BITS3191,7,67,No,8,0
BITS3192,7,91,Yes,8,6
BITS3193,6,96,No,4,9
BITS3194,6,63,Yes,6,2
BITS3195,2,67,Yes,5,7
BITS3196,6,75,No,7,8
BITS3197,4,91,No,8,7
BITS3198,3,57,Yes,9,0
BITS3199,2,64,No,8,0
BITS3200,1,74,Yes,6,5
BITS3201,5,43,No,6,0
BITS3202,2,53,No,4,7
BITS3203,2,78,Yes,4,5
BITS3204,7,65,Yes,9,4
BITS3205,8,47,No,9,5
BITS3206,8,63,Yes,4,3
BITS3207,4,55,No,7,0
BITS3208,1,59,No,9,6
BITS3209,7,54,Yes,4,9
BITS3210,1,46,No,8,8
BITS3211,4,97,Yes,4,3
BITS3212,8,56,Yes,7,3
BITS3213,2,61,No,4,8
BITS3214,6,61,Yes,4,3
BITS3215,6,93,No,8,9
BITS3216,9,51,No,9,3
BITS3217,5,57,Yes,8,7
BITS3218,4,95,Yes,8,3
BITS3219,5,85,No,4,8
BITS3220,5,86,Yes,8,7
BITS3221,8,54,No,6,4
BITS3222,8,76,No,5,8
BITS3223,2,55,No,5,7
BITS3224,7,44,No,8,9
BITS3225,8,41,No,9,3
BITS3226,6,91,Yes,7,3
BITS3227,5,67,No,8,0
BITS3228,9,96,No,9,3
BITS3229,3,80,No,8,7
BITS3230,4,93,No,4,4
BITS3231,9,66,No,9,5
BITS3232,6,70,No,7,3
BITS3233,8,80,Yes,8,4
BITS3234,7,75,Yes,6,9
BITS3235,2,86,No,9,7
BITS3236,3,82,No,5,8
BITS3237,1,40,No,9,2
BITS3238,9,89,Yes,6,9
BITS3239,7,68,No,6,3
BITS3240,1,40,No,6,0
BITS3241,3,47,No,7,4
BITS3242,4,96,No,7,3
BITS3243,4,55,No,9,5
BITS3244,5,97,No,7,5
BITS3245,3,67,Yes,5,9
BITS3246,3,61,No,4,5
BITS3247,1,57,No,9,2
BITS3248,7,61,No,8,6
BITS3249,1,80,No,8,2
BITS3250,2,51,No,9,5
BITS3251,4,58,No,4,9
BITS3252,4,64,No,8,0
BITS3253,5,89,No,9,7
BITS3254,2,98,No,9,6
BITS3255,4,44,Yes,6,8
BITS3256,1,98,Yes,5,2
BITS3257,2,73,Yes,8,7
BITS3258,1,78,No,5,1
BITS3259,4,98,Yes,9,8
BITS3260,4,49,Yes,4,0
BITS3261,7,86,Yes,9,9
BITS3262,9,96,Yes,8,6
BITS3263,9,46,No,5,9
BITS3264,5,99,Yes,6,0
BITS3265,1,76,Yes,6,5
BITS3266,1,86,No,9,0
BITS3267,6,91,Yes,4,3
BITS3268,2,99,No,7,6
BITS3269,8,91,Yes,8,1
BITS3270,9,54,Yes,9,2
BITS3271,4,81,Yes,6,3
BITS3272,5,63,No,6,5
BITS3273,8,65,Yes,4,8
BITS3274,3,65,Yes,6,3
BITS3275,5,85,No,8,5
BITS3276,3,65,Yes,4,6
BITS3277,3,97,Yes,5,3
BITS3278,3,49,Yes,4,5
BITS3279,7,56,Yes,8,2
BITS3280,7,92,Yes,8,4
BITS3281,7,53,No,5,9
BITS3282,8,41,No,9,3
BITS3283,5,87,No,4,6
BITS3284,5,52,Yes,8,5
BITS3285,4,66,Yes,8,6
BITS3286,7,48,Yes,5,5
BITS3287,4,46,Yes,7,1
BITS3288,2,87,Yes,4,6
BITS3289,4,49,No,8,7
BITS3290,8,95,No,6,6
BITS3291,9,93,No,5,3
BITS3292,3,48,Yes,7,3
BITS3293,7,61,No,7,4
BITS3294,9,62,No,5,8
BITS3295,4,46,No,7,4
BITS3296,3,87,No,8,1
BITS3297,5,48,Yes,7,4
BITS3298,1,66,Yes,4,2
BITS3299,3,63,No,6,9
BITS3300,8,68,No,8,7
BITS3301,8,56,No,5,9
BITS3302,4,59,No,6,9
BITS3303,2,46,No,9,1
BITS3304,8,82,No,8,3
BITS3305,8,79,No,6,4
BITS3306,,46,No,7,3
BITS3307,3,67,No,9,4
BITS3308,2,58,Yes,5,9
BITS3309,9,59,No,5,3
BITS3310,1,83,Yes,4,2
BITS3311,7,78,Yes,7,0
BITS3312,5,79,No,4,3
BITS3313,8,46,No,4,8
BITS3314,4,45,Yes,7,0
BITS3315,7,64,Yes,8,6
BITS3316,5,80,No,9,2
BITS3317,5,98,Yes,4,7
BITS3318,9,52,No,6,5
BITS3319,9,78,No,9,0
BITS3320,9,79,Yes,8,9
BITS3321,6,61,No,7,4
BITS3322,6,88,Yes,5,7
BITS3323,5,56,No,8,2
BITS3324,9,87,No,4,3
BITS3325,8,61,Yes,6,6
BITS3326,7,73,Yes,9,5
BITS3327,7,47,No,7,6
BITS3328,6,88,No,5,8
BITS3329,5,84,Yes,9,8
BITS3330,4,57,No,6,1
BITS3331,3,63,Yes,5,2
BITS3332,3,99,Yes,7,3
BITS3333,6,93,Yes,9,5
BITS3334,4,99,No,8,4
BITS3335,6,81,Yes,4,5
BITS3336,3,41,No,7,7
BITS3337,4,41,Yes,6,1
BITS3338,9,,No,8,5
BITS3339,5,53,No,9,8
BITS3340,7,87,Yes,5,4
BITS3341,2,78,Yes,8,0
BITS3342,5,92,Yes,8,7
BITS3343,9,92,No,6,3
BITS3344,3,95,No,4,7
BITS3345,9,51,No,8,3
BITS3346,6,71,Yes,8,7
BITS3347,4,67,Yes,4,8
BITS3348,7,94,Yes,4,4
BITS3349,8,67,Yes,5,4
BITS3350,6,85,Yes,9,1
BITS3351,5,64,No,5,8
BITS3352,6,43,Yes,4,3
BITS3353,5,65,No,7,2
BITS3354,8,75,Yes,4,1
BITS3355,1,89,Yes,5,2
BITS3356,7,42,Yes,6,3
BITS3357,2,40,Yes,6,8
BITS3358,9,56,Yes,9,5
BITS3359,1,46,No,8,9
BITS3360,6,87,Yes,6,4
BITS3361,9,44,No,5,8
BITS3362,1,58,No,6,7
BITS3363,4,78,No,7,5
BITS3364,4,85,No,4,2
BITS3365,9,73,Yes,4,6
BITS3366,5,74,Yes,5,9
BITS3367,5,88,Yes,8,5
BITS3368,6,55,Yes,4,7
BITS3369,1,79,Yes,6,5
BITS3370,1,89,No,7,9
BITS3371,9,86,Yes,8,3
BITS3372,3,78,Yes,8,9
BITS3373,4,66,No,8,6
BITS3374,1,80,Yes,4,6
BITS3375,9,77,Yes,9,7
BITS3376,8,89,No,8,1
BITS3377,2,89,Yes,5,5
BITS3378,8,64,No,6,2
BITS3379,7,65,No,9,7
BITS3380,6,95,Yes,7,3
BITS3381,1,53,No,6,3
BITS3382,7,53,Yes,5,1
BITS3383,7,53,Yes,5,5
BITS3384,9,64,Yes,9,5
BITS3385,1,75,No,6,0
BITS3386,2,43,No,4,7
BITS3387,9,86,No,5,2
BITS3388,9,54,No,8,0
BITS3389,6,71,No,7,9
BITS3390,6,57,No,7,0
BITS3391,4,53,No,5,0
BITS3392,4,97,No,8,4
BITS3393,5,40,No,6,4
BITS3394,3,81,No,7,0
BITS3395,1,59,No,8,4
BITS3396,1,49,Yes,8,6
BITS3397,7,49,No,4,4
BITS3398,1,98,Yes,5,8
BITS3399,1,63,Yes,8,3
BITS3400,3,73,Yes,6,8
BITS3401,4,67,Yes,7,7
BITS3402,4,66,No,4,0
BITS3403,2,79,Yes,6,3
BITS3404,1,40,Yes,7,6
BITS3405,3,72,Yes,5,0
BITS3406,4,43,No,6,7
BITS3407,3,46,Yes,7,1
BITS3408,8,48,Yes,4,7
BITS3409,1,55,No,7,3
BITS3410,2,44,No,8,7
BITS3411,7,73,No,4,0
BITS3412,4,99,No,6,4
BITS3413,8,62,No,9,8
BITS3414,3,82,No,5,6
BITS3415,6,89,No,4,2
BITS3416,9,64,No,4,3
BITS3417,1,96,No,4,9
BITS3418,1,90,Yes,7,6
BITS3419,8,52,No,8,5
BITS3420,3,63,Yes,9,3
BITS3421,5,50,Yes,5,2
BITS3422,1,91,No,5,1
BITS3423,5,90,No,8,9
BITS3424,6,56,No,7,8
BITS3425,8,76,No,7,2
BITS3426,3,52,Yes,8,6
BITS3427,3,66,Yes,8,0
BITS3428,9,59,No,6,7
BITS3429,4,72,Yes,7,0
BITS3430,4,81,No,4,1
BITS3431,7,71,Yes,5,0
BITS3432,2,47,Yes,7,3
BITS3433,8,95,No,8,1
BITS3434,6,68,No,4,0
BITS3435,3,79,Yes,6,0
BITS3436,9,58,No,9,1
BITS3437,5,45,Yes,6,5
BITS3438,8,83,No,4,1
BITS3439,7,99,No,4,1
BITS3440,8,78,No,8,7
BITS3441,7,87,No,9,4
BITS3442,3,80,No,8,7
BITS3443,2,60,No,5,7
BITS3444,7,96,No,9,1
BITS3445,3,61,Yes,9,6
BITS3446,3,81,No,5,8
BITS3447,2,49,Yes,6,7
BITS3448,4,49,No,4,8
BITS3449,8,91,Yes,6,7
BITS3450,1,68,No,8,3
BITS3451,1,55,No,7,9
BITS3452,5,40,Yes,8,6
BITS3453,5,56,No,7,8
BITS3454,1,69,No,4,8
BITS3455,6,65,No,4,3
BITS3456,1,92,No,9,6
BITS3457,5,85,No,4,5
BITS3458,9,58,Yes,5,2
BITS3459,5,92,No,5,9
BITS3460,6,60,Yes,7,5
BITS3461,8,56,Yes,6,7
BITS3462,1,85,Yes,9,1
BITS3463,2,79,Yes,6,2
BITS3464,9,60,Yes,7,7
BITS3465,3,92,Yes,5,3
BITS3466,6,80,Yes,8,
BITS3467,5,79,Yes,9,1
BITS3468,2,84,No,7,9
BITS3469,7,88,Yes,6,0
BITS3470,4,58,No,7,6
BITS3471,1,99,Yes,7,3
BITS3472,4,46,Yes,4,5
BITS3473,6,56,No,5,7
BITS3474,7,40,Yes,9,6
BITS3475,7,76,No,4,6
BITS3476,7,96,Yes,5,5
BITS3477,3,45,No,7,3
BITS3478,6,65,No,5,3
BITS3479,8,41,Yes,6,8
BITS3480,4,98,Yes,9,4
BITS3481,8,71,Yes,4,8
BITS3482,2,96,Yes,9,8
BITS3483,9,87,No,7,3
BITS3484,9,93,No,6,1
BITS3485,8,44,No,5,1
